"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 02:51:39 UTC 2023","Thu Jul 27 02:51:47 UTC 2023","7631","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Jul 27 03:16:13 UTC 2023","Thu Jul 27 03:16:22 UTC 2023","9143","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Jul 27 03:11:48 UTC 2023","Thu Jul 27 03:11:53 UTC 2023","4970","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Jul 27 04:41:12 UTC 2023","Thu Jul 27 04:42:19 UTC 2023","67006","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Thu Jul 27 02:45:50 UTC 2023","Thu Jul 27 02:45:50 UTC 2023","125","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Thu Jul 27 03:11:41 UTC 2023","Thu Jul 27 03:11:44 UTC 2023","2203","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Thu Jul 27 04:01:53 UTC 2023","Thu Jul 27 04:02:07 UTC 2023","14405","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Jul 27 03:20:10 UTC 2023","Thu Jul 27 03:20:25 UTC 2023","14906","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jul 27 02:45:50 UTC 2023","Thu Jul 27 02:46:02 UTC 2023","11822","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Thu Jul 27 04:25:52 UTC 2023","Thu Jul 27 04:25:53 UTC 2023","898","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Jul 27 02:48:21 UTC 2023","Thu Jul 27 02:49:04 UTC 2023","42788","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"skipped","Thu Jul 27 02:46:02 UTC 2023","Thu Jul 27 02:46:02 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Thu Jul 27 04:39:57 UTC 2023","Thu Jul 27 04:39:57 UTC 2023","28","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Jul 27 03:42:46 UTC 2023","Thu Jul 27 03:43:05 UTC 2023","19723","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Jul 27 03:45:51 UTC 2023","Thu Jul 27 03:45:53 UTC 2023","2025","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Jul 27 04:54:48 UTC 2023","Thu Jul 27 04:54:50 UTC 2023","2414","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Thu Jul 27 03:45:43 UTC 2023","Thu Jul 27 03:45:44 UTC 2023","1208","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Jul 27 03:02:37 UTC 2023","Thu Jul 27 03:03:03 UTC 2023","25893","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Jul 27 02:57:52 UTC 2023","Thu Jul 27 02:58:04 UTC 2023","12012","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Jul 27 03:28:28 UTC 2023","Thu Jul 27 03:29:01 UTC 2023","32561","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Jul 27 03:39:04 UTC 2023","Thu Jul 27 03:39:15 UTC 2023","11417","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Thu Jul 27 02:47:51 UTC 2023","Thu Jul 27 02:48:21 UTC 2023","29821","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Thu Jul 27 04:41:09 UTC 2023","Thu Jul 27 04:41:12 UTC 2023","2885","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Thu Jul 27 03:12:55 UTC 2023","Thu Jul 27 03:12:57 UTC 2023","2781","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Thu Jul 27 03:08:22 UTC 2023","Thu Jul 27 03:08:47 UTC 2023","24916","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Jul 27 03:08:47 UTC 2023","Thu Jul 27 03:08:56 UTC 2023","9011","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Jul 27 03:54:20 UTC 2023","Thu Jul 27 03:54:23 UTC 2023","2718","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Jul 27 04:02:55 UTC 2023","Thu Jul 27 04:02:57 UTC 2023","2234","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu Jul 27 03:53:38 UTC 2023","Thu Jul 27 03:53:41 UTC 2023","2878","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Jul 27 03:04:47 UTC 2023","Thu Jul 27 03:04:51 UTC 2023","4202","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Jul 27 03:45:44 UTC 2023","Thu Jul 27 03:45:51 UTC 2023","7094","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Jul 27 04:40:00 UTC 2023","Thu Jul 27 04:40:29 UTC 2023","28913","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Jul 27 03:02:05 UTC 2023","Thu Jul 27 03:02:25 UTC 2023","19871","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Jul 27 04:28:07 UTC 2023","Thu Jul 27 04:28:34 UTC 2023","26552","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Jul 27 04:53:57 UTC 2023","Thu Jul 27 04:54:11 UTC 2023","13939","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Thu Jul 27 02:50:01 UTC 2023","Thu Jul 27 02:50:07 UTC 2023","5925","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Thu Jul 27 04:02:21 UTC 2023","Thu Jul 27 04:02:25 UTC 2023","3054","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu Jul 27 04:40:33 UTC 2023","Thu Jul 27 04:40:38 UTC 2023","5116","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Thu Jul 27 04:02:12 UTC 2023","Thu Jul 27 04:02:15 UTC 2023","3083","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Jul 27 03:11:44 UTC 2023","Thu Jul 27 03:11:48 UTC 2023","4252","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Thu Jul 27 03:15:53 UTC 2023","Thu Jul 27 03:16:13 UTC 2023","20700","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Jul 27 03:11:53 UTC 2023","Thu Jul 27 03:12:54 UTC 2023","61283","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Thu Jul 27 04:42:25 UTC 2023","Thu Jul 27 04:42:33 UTC 2023","8638","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Thu Jul 27 03:08:10 UTC 2023","Thu Jul 27 03:08:19 UTC 2023","8247","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Jul 27 03:07:50 UTC 2023","Thu Jul 27 03:08:10 UTC 2023","20670","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Jul 27 03:38:33 UTC 2023","Thu Jul 27 03:39:00 UTC 2023","27189","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Thu Jul 27 02:56:50 UTC 2023","Thu Jul 27 02:57:13 UTC 2023","22684","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Jul 27 03:04:51 UTC 2023","Thu Jul 27 03:05:13 UTC 2023","21393","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Jul 27 04:42:36 UTC 2023","Thu Jul 27 04:43:13 UTC 2023","37244","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Jul 27 03:02:25 UTC 2023","Thu Jul 27 03:02:35 UTC 2023","9455","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Thu Jul 27 03:58:43 UTC 2023","Thu Jul 27 03:59:30 UTC 2023","47308","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Jul 27 04:25:50 UTC 2023","Thu Jul 27 04:25:51 UTC 2023","1650","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
